intentName,intentGroup,destinationTypeEnterprise,destinationEnterprise,destinationTypeBusiness,destinationBusiness,destinationTypeGovernment,destinationGovernment,closed_door_SS,wirelessSS,identifyEnterprise,identifyBusiness,identifyGovernment,specialIntent,authLevelEnterprise,authLevelBusiness,authLevelGovernment,repromptMenu_EN,repromptMenu_FR
incorrect-charges,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
inquiry-manage-mobility,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
inquiry-O365,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
internet-sales-support,sales-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
make-a-payment,self-serve-MakePayment,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
new-phone,sales-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
online-password,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
order-tracking,self-serve-OrderStatus,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
payment-history,self-serve-PaymentHistory,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
pin-help-vague,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
plan-details,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
port-in-number,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
price-increase,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
product-inquiry-phone,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
product-inquiry-TV,sales-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
product-inquiry-wireless,sales-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
product-inquiry-business-internet,sales-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
promise-to-pay,self-serve-PromiseToPay,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
report-a-payment,self-serve-PromiseToPay,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
reset-account-pin,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
reset-account-pin-ct,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
roaming-support,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
sales-satellite,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
sales-vague,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
sales-vague_BM,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
separate-lines-into-multiple-accounts,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
service-vague,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
service-vague_BM,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
setup-account,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
transaction-id,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
transfer-balance,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
update-service,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
upgrade-internet,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
upgrade-product,sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
account-support-vague,service,Module,BOMM,Module,BOMM,Module,BOMM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
advantage-voice,service,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Collect-Ent-Wir-DA,Bus-Collect-Ent-Wir-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Collect-Ent-Wirln-DA,Bus-Collect-Ent-Wirln-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Collect-Ent-Wirln-WST-DA,Bus-Collect-Ent-Wirln-WST-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Collect-SMB-Wirln-WST-DA,Bus-Collect-SMB-Wirln-WST-DA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-billing-data-centre,Bus-Main-Ent-DA-billing-data-centre,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
